"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
"... >= 200 DM",12,"existing credits paid back duly till now","furniture/equipment",1474,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",33,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",45,"critical account","radio/television",4746,"... <  100 DM","... < 1 year",0.04,"male","single","none",2,"building society savings agreement/life insurance",25,"none","own",2,"unskilled - resident",1,"no","yes","no"
NA,48,"critical account","education",6110,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",3,NA,31,"bank","for free",1,"skilled employee/official",1,"yes","yes","yes"
"... >= 200 DM",18,"existing credits paid back duly till now","radio/television",2100,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","co-applicant",2,"real estate",37,"stores","own",1,"skilled employee/official",1,"no","yes","no"
"... >= 200 DM",10,"existing credits paid back duly till now","domestic appliances",1225,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","radio/television",458,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",3,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,30,"existing credits paid back duly till now","radio/television",2333,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",2,"car or other",30,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1158,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.03,"male","divorced/separated","none",1,"car or other",26,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"delay in paying off in the past","repairs",6204,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes","yes","yes"
"... < 0 DM",30,"critical account","car (used)",6187,"100 <= ... <  500 DM","4  <= ... < 7 years",0.01,"male","married/widowed","none",4,"car or other",24,"none","rent",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",48,"critical account","car (used)",6143,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",4,NA,58,"stores","for free",2,"unskilled - resident",1,"no","yes","no"
NA,11,"critical account","car (new)",1393,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
NA,36,"existing credits paid back duly till now","radio/television",2299,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",39,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",6,"existing credits paid back duly till now","car (used)",1352,"500 <= ... < 1000 DM","unemployed",0.01,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"yes","yes","yes"
NA,11,"critical account","car (new)",7228,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",4,"building society savings agreement/life insurance",39,"none","own",2,"unskilled - resident",1,"no","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",2073,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","co-applicant",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"delay in paying off in the past","furniture/equipment",2333,NA,"... < 1 year",0.04,"male","single","none",2,"building society savings agreement/life insurance",29,"bank","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",27,"delay in paying off in the past","car (used)",5965,"... <  100 DM","... >= 7 years",0.01,"male","single","none",2,"car or other",30,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",1262,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,18,"existing credits paid back duly till now","car (used)",3378,NA,"1  <= ... < 4 years",0.02,"male","single","none",1,"building society savings agreement/life insurance",31,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",2225,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,57,"bank","for free",2,"skilled employee/official",1,"yes","yes","no"
NA,6,"all credits at this bank paid back duly","car (new)",783,NA,"1  <= ... < 4 years",0.01,"male","single","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",6468,NA,"unemployed",0.02,"male","single","none",1,NA,52,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,36,"critical account","radio/television",9566,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"car or other",31,"stores","own",2,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",18,"existing credits paid back duly till now","car (new)",1961,"... <  100 DM","... >= 7 years",0.03,"female","divorced/separated/married","none",2,"car or other",23,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... < 0 DM",36,"critical account","furniture/equipment",6229,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","co-applicant",4,NA,23,"none","rent",2,"unskilled - resident",1,"yes","yes","no"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","business",1391,"... <  100 DM","1  <= ... < 4 years",0.02,"male","married/widowed","none",1,"real estate",27,"bank","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",15,"critical account","radio/television",1537,NA,"... >= 7 years",0.04,"male","single","guarantor",4,"real estate",50,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",36,"no credits taken","business",1953,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,61,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"0 <= ... < 200 DM",48,"no credits taken","business",14421,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,24,"existing credits paid back duly till now","radio/television",3181,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,27,"existing credits paid back duly till now","repairs",5190,NA,"... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",48,"none","own",4,"skilled employee/official",2,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",2171,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1007,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,36,"existing credits paid back duly till now","education",1819,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,NA,37,"stores","for free",1,"skilled employee/official",1,"yes","yes","no"
NA,36,"existing credits paid back duly till now","radio/television",2394,NA,"1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,36,"existing credits paid back duly till now","car (used)",8133,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",30,"bank","own",1,"skilled employee/official",1,"no","yes","yes"
NA,7,"critical account","radio/television",730,NA,"... >= 7 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",46,"none","rent",2,"unskilled - resident",1,"yes","yes","yes"
"... < 0 DM",8,"critical account","others",1164,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,NA,51,"bank","for free",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"0 <= ... < 200 DM",42,"critical account","business",5954,"... <  100 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","education",1977,NA,"... >= 7 years",0.04,"male","single","none",4,NA,40,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",12,"critical account","car (used)",1526,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,66,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... < 0 DM",42,"existing credits paid back duly till now","radio/television",3965,"... <  100 DM","... < 1 year",0.04,"male","single","none",3,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",11,"delay in paying off in the past","radio/television",4771,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",51,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,54,"no credits taken","car (used)",9436,NA,"1  <= ... < 4 years",0.02,"male","single","none",2,"building society savings agreement/life insurance",39,"none","own",1,"unskilled - resident",2,"no","yes","yes"
"0 <= ... < 200 DM",30,"existing credits paid back duly till now","furniture/equipment",3832,"... <  100 DM","... < 1 year",0.02,"male","married/widowed","none",1,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",5943,NA,"... < 1 year",0.01,"female","divorced/separated/married","none",1,"car or other",44,"none","own",2,"skilled employee/official",1,"yes","yes","no"
NA,15,"existing credits paid back duly till now","radio/television",1213,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",47,"stores","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,18,"existing credits paid back duly till now","business",1568,"100 <= ... <  500 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","others",1755,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes","yes","yes"
"... < 0 DM",10,"existing credits paid back duly till now","radio/television",2315,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"no","yes","yes"
NA,12,"critical account","business",1412,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","guarantor",2,"real estate",29,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"critical account","furniture/equipment",1295,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","education",12612,"100 <= ... <  500 DM","1  <= ... < 4 years",0.01,"male","single","none",4,NA,47,"none","for free",1,"skilled employee/official",2,"yes","yes","no"
"... < 0 DM",18,"existing credits paid back duly till now","car (new)",2249,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"... < 0 DM",12,"no credits taken","repairs",1108,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"real estate",28,"none","own",2,"skilled employee/official",1,"no","yes","no"
NA,12,"critical account","radio/television",618,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",56,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"critical account","car (used)",1409,"... <  100 DM","... >= 7 years",0.04,"male","single","none",3,"real estate",54,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,12,"critical account","radio/television",797,NA,"... >= 7 years",0.04,"female","divorced/separated/married","none",3,"building society savings agreement/life insurance",33,"bank","own",1,"unskilled - resident",2,"no","yes","no"
"... >= 200 DM",24,"critical account","furniture/equipment",3617,NA,"... >= 7 years",0.04,"male","single","co-applicant",4,NA,20,"none","rent",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1318,"... >= 1000 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",54,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",54,"no credits taken","business",15945,"... <  100 DM","... < 1 year",0.03,"male","single","none",4,NA,58,"none","rent",1,"skilled employee/official",1,"yes","yes","no"
NA,12,"critical account","education",2012,NA,"4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",2,"car or other",61,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","business",2622,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"critical account","radio/television",2337,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",20,"delay in paying off in the past","car (used)",7057,NA,"4  <= ... < 7 years",0.03,"male","single","none",4,"building society savings agreement/life insurance",36,"bank","rent",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","car (new)",1469,"100 <= ... <  500 DM","... >= 7 years",0.04,"male","married/widowed","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","radio/television",2323,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",24,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,6,"delay in paying off in the past","radio/television",932,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"critical account","furniture/equipment",1919,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"car or other",35,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","car (used)",2445,NA,"... < 1 year",0.02,"male","married/widowed","none",4,"car or other",26,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",24,"critical account","others",11938,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","co-applicant",3,"car or other",39,"none","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","no"
NA,18,"all credits at this bank paid back duly","car (new)",6458,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,NA,39,"bank","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","no"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",6078,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",2,"car or other",32,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",7721,NA,"... < 1 year",0.01,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",30,"none","own",1,"skilled employee/official",1,"yes","no","yes"
"0 <= ... < 200 DM",14,"existing credits paid back duly till now","business",1410,"500 <= ... < 1000 DM","... >= 7 years",0.01,"male","married/widowed","none",2,"real estate",35,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",6,"delay in paying off in the past","business",1449,"100 <= ... <  500 DM","... >= 7 years",0.01,"male","divorced/separated","none",2,"car or other",31,"bank","own",2,"skilled employee/official",2,"no","yes","yes"
"... >= 200 DM",15,"existing credits paid back duly till now","education",392,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",6260,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
NA,36,"critical account","car (new)",7855,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"real estate",25,"stores","own",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",1680,"500 <= ... < 1000 DM","... >= 7 years",0.03,"male","married/widowed","none",1,"real estate",35,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,48,"critical account","radio/television",3578,NA,"... >= 7 years",0.04,"male","single","none",1,"real estate",47,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",42,"existing credits paid back duly till now","radio/television",7174,NA,"4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",10,"critical account","furniture/equipment",2132,NA,"... < 1 year",0.02,"female","divorced/separated/married","co-applicant",3,"real estate",27,"none","rent",2,"skilled employee/official",1,"no","no","yes"
"... < 0 DM",33,"critical account","furniture/equipment",4281,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",4,"car or other",23,"none","own",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",12,"critical account","car (new)",2366,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.03,"male","divorced/separated","none",3,"car or other",36,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",21,"existing credits paid back duly till now","radio/television",1835,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"real estate",25,"none","own",2,"skilled employee/official",1,"yes","yes","no"
NA,24,"critical account","car (used)",3868,"... <  100 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",2,"car or other",41,"none","rent",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","furniture/equipment",1768,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"no","yes","yes"
"... >= 200 DM",10,"critical account","car (new)",781,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,63,"none","for free",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","furniture/equipment",1924,NA,"... < 1 year",0.04,"female","divorced/separated/married","none",3,"real estate",27,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",12,"critical account","car (new)",2121,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",30,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",701,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","repairs",639,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",12,"critical account","car (used)",1860,"... <  100 DM","unemployed",0.04,"male","single","none",2,"car or other",34,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",12,"critical account","car (new)",3499,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","co-applicant",2,"real estate",29,"none","own",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","car (new)",8487,NA,"4  <= ... < 7 years",0.01,"female","divorced/separated/married","none",2,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",36,"delay in paying off in the past","education",6887,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",29,"stores","own",1,"skilled employee/official",1,"yes","yes","no"
NA,15,"existing credits paid back duly till now","furniture/equipment",2708,"... <  100 DM","... < 1 year",0.02,"male","single","none",3,"building society savings agreement/life insurance",27,"bank","own",2,"unskilled - resident",1,"no","yes","yes"
